,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,kurtosis,missing_percent,unique_values,zeros_percent
pcpn_amt_pst1hr,1445.0,336.10341672653374,304.9167976720856,-1749.7395833333337,-0.1312442307692307,-0.037142857142857054,0.1071428571428571,357.2352941176471,536.577380952381,857.1616666666663,1188.183275862069,1467.0113636363635,0.3234463948408347,1.237463119923163,0.0,1354,2.006920415224913
SWE,1445.0,228.00196208987404,236.15727397165878,0.0,0.0,0.0,52.95652173913044,195.0,281.25,701.6918918918918,1097.1294117647055,1763.0,2.004056093039613,5.351981695955824,0.0,911,8.719723183391004
Pressurembar,1445.0,865.9288338344725,46.35422105383273,775.5238095238094,782.69243403248,791.526950280112,827.6241290018833,872.0701086956523,903.9152482269504,931.162596899225,958.231564095071,1056.742817679558,-0.06624772989214019,-0.6813699799887081,0.0,1445,0.0
TEMP_MEAN,1445.0,17.84624996367082,5.4996301374795,-27.369444444444444,0.9171249999999995,8.374583333333334,15.8104609929078,17.230434782608697,21.333434959349592,26.5300837596233,27.273382222100572,27.679983976971815,-0.9856140049660252,4.170076325442788,0.0,1218,0.0
rnfl_amt_pst24hrs,1445.0,2.8737880581133437,2.609627830975552,0.0,0.0,0.0,0.619047619047619,3.8,3.8,3.8,6.466971014492748,55.06842105263158,7.826068255543571,131.76107033788367,0.0,230,17.854671280276815
air_temp_1,1445.0,10.592032772595775,19.648572878526473,-575.9020833333334,-5.856388888888889,-0.3924166666666668,7.616722408026756,11.961979166666666,15.857246376811595,19.966003086419754,22.384999999999994,28.643055555555552,-23.46924703202406,643.0504664121365,0.0,1444,0.0
Wetness,1445.0,23.829874207441648,18.1752107982886,0.0,0.16938526046943597,1.8826612425560718,8.776770833333334,20.614225616291534,33.380374753451676,58.57969222385142,76.82327410042717,99.9078798185941,0.9916127422972073,0.7891998557119417,0.0,1439,0.34602076124567477
Precipitation,1445.0,0.10894400272614536,1.35725980291792,-49.357491134751776,-0.10114370900417402,-0.049368700776559915,-0.007191994996873,0.0344907407407406,0.478021978021978,0.478021978021978,0.478021978021978,1.3385416666666667,-34.025632705526434,1227.9718892174778,0.0,780,8.09688581314879
precipitation,1445.0,0.060744730026828564,0.1381042148340896,0.0,0.0,0.0,0.0,0.0,0.0499999999999999,0.315942028985507,0.6333333333333334,1.3217391304347827,3.8426753007756695,20.079586224663764,0.0,328,56.608996539792386
mean_sea_level,1445.0,101.56725750514813,0.4425802875577169,100.17810402684565,100.56798429172511,100.87492340964819,101.30108695652171,101.54217002237134,101.7978494623656,102.33437877491771,102.92017663252071,103.201708984375,0.4557976310211419,1.1386604916315965,0.0,1444,0.0
GustSpeedms,1445.0,4.771294796831012,2.5828695907335546,0.2891041666666666,0.8305018018018018,1.4627713414634147,2.871201636904762,4.300588037634409,6.173333333333333,9.440388775510206,13.209117276995299,18.25982704402516,1.1973577001957507,2.3740123332390954,0.0,1445,0.0
ATMOSPHERIC_PRESSURE,1445.0,918.677456397613,57.50262379805079,600.0041666666667,710.6741678108315,809.1933333333333,892.4166666666666,923.181818181818,956.625,991.9934299516908,1010.2647709834921,1016.05,-1.5531817160637207,4.721532038714921,0.0,1426,0.0
snw_dpth,1445.0,-308.7530964999446,1321.1055431979116,-6999.0,-6999.0,-3412.416666666667,0.7291666666666667,4.5,23.443692088382036,180.12333333333333,295.7872194444438,562.3151041666666,-4.051143424288365,15.775186834468638,0.0,1284,6.228373702422145
WDIR_VECT,1445.0,205.3445735001918,39.57048662520877,42.916666666666664,82.88210144927537,132.13194444444443,185.8178418803419,220.7782608695652,220.7782608695652,263.279362745098,298.80207070707064,330.22083333333336,-0.7101936854868759,1.5576589669559757,0.0,908,0.0
min_air_temp_snc_last_reset,1445.0,-0.18637595169672647,15.964557864141637,-327.25,-6.769230769230769,-6.769230769230769,-6.769230769230769,-6.769230769230769,10.079166666666667,17.76427083333333,21.40745833333333,306.9589646464647,-0.5151161285259599,220.96590635839328,0.0,503,0.0
