Date,Longitude,Latitude,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,ATMOSPHERIC_PRESSURE,AirTemp,AirTemperature,BAR_PRESS,CURRENT_AIR_TEMPERATURE1,CURRENT_AIR_TEMPERATURE2,DEW_POINT,DewPtC,Elevation (m),GustSpeedms,HEIGHT_OF_SNOW,HUMIDITY,MAXIMUM_AIR_TEMPERATURE,MAXIMUM_MEASURED_WIND_SPEED1,MAX_TEMP,MEASURED_WIND_DIRECTION1,MEASURED_WIND_SPEED1,MINIMUM_AIR_TEMPERATURE,MIN_TEMP,ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,ONE_DAY_SNOW,PRECIPITATION_NEW,PRECIP_DETECTOR_RATIO,PRECIP_TOTAL,Precipitation,Pressurembar,RELATIVE_HUMIDITY1,RH,Rain,Rainmm,RelativeHumidity,SNOW_ON_THE_GROUND,STANDARD_SNOW,SWE,SnowDepth,SnowWaterEquivalent,Snow_WE,SolarRadiation,SolarRadiationWm,TEMP_MEAN,TempC,WDIR_VECT,WIND_DIRECTION_STD_DEVIATION1,WSPD_SCLR,Wetness,WindDirection,WindSpeed,WindSpeedms,air_temp,air_temp_1,air_temp_2,air_temperature,air_temperature_yesterday_high,air_temperature_yesterday_low,avg_air_temp_pst1hr,avg_rel_hum_pst1hr,avg_wnd_dir_10m_pst10mts,avg_wnd_spd_10m_pst10mts,cum_pcpn_amt,dew_point,dwpt_temp,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,mean_sea_level,min_air_temp_snc_last_reset,mslp,pcp,pcpn_amt_pst1hr,pcpn_amt_pst24hrs,precipitation,rel_hum,relative_humidity,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,snow_amount,snw_dpth,snw_dpth_wtr_equiv,snwfl_amt_pst1hr,stn_pres,tasmax,tasmin,temperature,tendency_amount,total_precipitation,wind_direction,wind_gust_speed,wind_speed,FIRE_SIZE_HA
2017-05-24,-125.5,54.2,,,929.0,,,,11.821374999999998,,3.0416666666666665,,719.0,,,,,,,271.62916666666666,11.540291666666668,,,,,,,,,,,59.030833333333334,,,,,,,,,,,,,,,,22.992083333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
2017-05-25,-124.1,48.8,,,,,,,,,,,190.5,,,,,,24.5,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,72.125,,,,,,,,,,14.658333333333331,,,133.70833333333334,,4.004166666666666,0.009
2017-05-25,-124.0,49.2,,,,,,,,,,,114.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-05-25,-119.5,50.2,,,,,,,,,,,670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0333333333333333,,64.33333333333333,,,,,,,,,,13.975,,,211.125,,6.054166666666667,0.009
2017-05-26,-123.5,48.6,,,973.1666666666666,,,,18.464583333333337,,7.083333333333333,,340.0,,,,,,,221.42375,3.592875,,,,,,,,,,,48.01666666666667,,,,,,,,,,,,,,,,36.21333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
2017-05-27,-131.1,57.9,,,982.9583333333334,,,,11.8175,,-3.9583333333333335,,290.0,,,,,,,183.58916666666667,3.420916666666667,,,,,,,,,,,41.23125,,,,,,,,,,,,,,,,29.81441666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2017-05-27,-128.3,54.7,,,1003.9565217391304,,,,15.185652173913043,,6.217391304347826,,130.0,,,,,,,181.8264347826087,1.565826086956522,,,,,,,,,,,63.8704347826087,,,,,,,,,,,,,,,,40.71521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-05-27,-115.2,49.3,,,,,,,,,,,775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,46.166666666666664,,,,,,,,,,17.170833333333334,,,108.66666666666669,,8.570833333333333,0.009
2017-05-28,-121.6,49.1,,,,,,,,,,,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,53.25,,,,,,,,,,19.595833333333335,,,152.58333333333334,,8.570833333333333,0.0
2017-05-28,-121.6,49.2,,,,,,,,,,,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.154166666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0416666666666,,,,,,,,,,,0.0
2017-05-30,-127.2,54.8,,,,,,,,,,,508.4,,,,,,24.0,,,,9.0,5.6,5.6,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.1292495833333334,,,,,,,,,,,15.473333333333334,67.74666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-05-31,-127.2,54.8,,,,,,,,,,,508.4,,,,,,20.0,,,,9.0,0.2,0.2,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.536833,,,,,,,,,,,15.587916666666668,66.20291666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018
2017-05-31,-124.7,48.9,,,,,,,,,,,14.9,,,,,,16.0,,,,8.0,10.4,10.4,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-06-01,-121.4,56.2,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.202166666666667,,,,,,,,,,,16.842916666666667,53.64291666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-01,-116.0,50.1,,,,,,,,,,,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,78.70833333333333,,,,,,,,,,12.7,,,159.75,,6.229166666666667,0.2
2017-06-02,-120.9,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.470458333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-06-04,-121.6,55.7,,,,,,,,,,,609.6,,,,,,19.5,,,,-1.5,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-05,-117.2,49.6,,,,,,,,,,,570.0,,,,,,23.5,,,,13.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-06,-121.9,52.1,,,,,,,,,,,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,31.958333333333332,,,,,,,,,,19.016666666666666,,,155.33333333333334,,7.416666666666667,0.009
2017-06-07,-120.5,55.8,,,,,,,,,,,665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7389349166666666,,,,,,,,,,,17.357704166666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009
2017-06-08,-129.1,59.4,,,,,,,,,,,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,36.791666666666664,,,,,,,,,,22.78333333333333,,,183.5,,7.975,0.0
2017-06-08,-123.6,48.6,,,,,,,,,,,138.0,,,,,,15.5,,,,12.0,4.4,4.4,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2017-06-08,-120.7,50.1,,,,,,,,,,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0333333333333333,,55.875,,,,,,,,,,15.825,,,215.75,,11.854166666666666,0.009
